  # q-path    omega_q   gamma(q)(meV)     g(q)^2 (meV*ryd)          lambda
    0.9734    13.0546      7.9000e-05           6.6527e+03      2.3498e-03
    0.9984    13.2768      1.4500e-04           6.5256e+03      4.1698e-03
    1.0078    13.3079      1.1200e-04           6.5042e+03      3.2057e-03
    1.0172    13.3417      1.5200e-04           6.4841e+03      4.3286e-03
    1.0266    13.3782      1.5300e-04           6.4634e+03      4.3334e-03
    1.0360    13.4176      1.9100e-04           6.4464e+03      5.3779e-03
    1.0454    13.4597      1.3000e-04           6.4267e+03      3.6375e-03
    1.0548    13.5047      1.1200e-04           6.4062e+03      3.1130e-03
    1.0643    13.5524      1.3400e-04           6.3911e+03      3.6983e-03
    1.0737    13.6029      1.0400e-04           6.3751e+03      2.8491e-03
    1.0831    13.6562      9.6000e-05           6.3607e+03      2.6094e-03
    1.0925    13.7122      6.8000e-05           6.3470e+03      1.8333e-03
    1.1019    13.7708      7.1000e-05           6.3341e+03      1.8979e-03
    1.1113    13.8319      7.8000e-05           6.3238e+03      2.0666e-03
    1.1207    13.8955      7.7000e-05           6.3134e+03      2.0215e-03
    1.1302    13.9615      5.0000e-05           6.3031e+03      1.3003e-03
    1.1396    14.0296      8.0000e-05           6.2934e+03      2.0603e-03
    1.1490    14.0998      7.9000e-05           6.2859e+03      2.0143e-03
    1.1584    14.1719      8.7000e-05           6.2791e+03      2.1958e-03
    1.1678    14.2457      8.8000e-05           6.2737e+03      2.1981e-03
    1.1772    14.3211      7.9000e-05           6.2694e+03      1.9526e-03
    1.1866    14.3977      1.0400e-04           6.2679e+03      2.5432e-03
    1.1960    14.4754      6.7000e-05           6.2662e+03      1.6209e-03
    1.2055    14.5538      1.0700e-04           6.2705e+03      2.5607e-03
    1.2149    14.6325      1.0200e-04           6.2742e+03      2.4149e-03
    1.2243    14.7109      1.7600e-04           6.2825e+03      4.1225e-03
    1.2337    14.7885      8.1000e-05           6.2977e+03      1.8774e-03
    1.2431    14.8638      4.5000e-05           6.3187e+03      1.0325e-03
    1.2525    14.9347      2.4100e-04           6.3504e+03      5.4771e-03
    1.2619    14.9973      1.1000e-04           6.3916e+03      2.4791e-03
